payment_id,customer_id,rental_id,amount,payment_date
16050,269,7,1.99,2017-01-24 21:40:19-05
16051,269,98,0.99,2017-01-25 15:16:50-05
16052,269,678,6.99,2017-01-28 21:44:14-05
16053,269,703,0.99,2017-01-29 00:58:02-05
16054,269,750,4.99,2017-01-29 08:10:06-05
16055,269,1099,2.99,2017-01-31 12:23:14-05
16056,270,193,1.99,2017-01-26 05:10:14-05
16057,270,1040,4.99,2017-01-31 04:03:42-05
16058,271,1096,8.99,2017-01-31 11:59:15-05
16059,272,33,0.99,2017-01-25 02:47:17-05
16060,272,405,6.99,2017-01-27 12:01:05-05
16061,272,1041,6.99,2017-01-31 04:14:49-05
16062,272,1072,0.99,2017-01-31 08:21:16-05
16063,273,122,3.99,2017-01-25 18:14:47-05
16064,273,980,0.99,2017-01-30 20:13:45-05
16065,274,147,2.99,2017-01-25 22:46:16-05
16066,274,208,4.99,2017-01-26 06:38:48-05
16067,274,301,2.99,2017-01-26 19:34:40-05
16068,274,394,5.99,2017-01-27 09:54:37-05
16069,274,474,2.99,2017-01-27 20:40:22-05
16070,274,892,4.99,2017-01-30 06:31:22-05
16071,275,336,2.99,2017-01-27 01:43:49-05
16072,276,736,3.99,2017-01-29 06:38:33-05
16073,276,860,10.99,2017-01-30 01:13:42-05
16074,277,308,6.99,2017-01-26 20:30:05-05
16075,278,1092,4.99,2017-01-31 10:44:23-05
16076,279,979,2.99,2017-01-30 20:05:37-05
16077,279,1019,0.99,2017-01-31 01:33:33-05
16078,280,1014,4.99,2017-01-31 01:07:42-05
16079,281,650,2.99,2017-01-28 18:14:06-05
16080,281,754,2.99,2017-01-29 08:47:25-05
16081,282,48,1.99,2017-01-25 04:49:12-05
16082,282,282,6.99,2017-01-26 17:24:52-05
16083,282,564,0.99,2017-01-28 07:40:35-05
16084,284,423,0.99,2017-01-27 14:01:23-05
16085,284,791,0.99,2017-01-29 14:59:08-05
16086,284,1145,6.99,2017-01-31 18:42:11-05
16087,286,81,6.99,2017-01-25 10:43:45-05
16088,287,498,0.99,2017-01-27 23:29:47-05
16089,287,655,2.99,2017-01-28 18:44:46-05
16090,287,964,2.99,2017-01-30 17:21:47-05
16091,288,93,3.99,2017-01-25 14:22:42-05
16092,288,427,6.99,2017-01-27 14:38:30-05
16093,288,503,4.99,2017-01-28 00:03:51-05
16094,288,565,5.99,2017-01-28 07:54:57-05
16095,290,160,2.99,2017-01-26 00:14:46-05
16096,291,54,4.99,2017-01-25 05:51:51-05
16097,291,747,4.99,2017-01-29 07:55:00-05
16098,291,1012,2.99,2017-01-31 00:46:31-05
16099,292,324,0.99,2017-01-26 23:28:30-05
16100,293,445,0.99,2017-01-27 17:11:23-05
16101,293,924,4.99,2017-01-30 10:39:25-05
16102,293,1034,8.99,2017-01-31 03:22:06-05
16103,294,595,1.99,2017-01-28 12:28:20-05
16104,295,371,3.99,2017-01-27 06:36:44-05
16105,296,162,4.99,2017-01-26 00:30:31-05
16106,296,511,5.99,2017-01-28 01:32:30-05
16107,296,869,4.99,2017-01-30 02:50:32-05
16108,296,956,2.99,2017-01-30 15:58:54-05
16109,297,143,0.99,2017-01-25 22:14:18-05
16110,297,954,3.99,2017-01-30 15:25:55-05
16111,298,383,3.99,2017-01-27 08:40:46-05
16112,299,332,5.99,2017-01-27 00:55:36-05
16113,299,606,8.99,2017-01-28 13:17:05-05
16114,300,457,0.99,2017-01-27 18:20:55-05
16115,300,780,3.99,2017-01-29 12:46:58-05
16116,300,1111,4.99,2017-01-31 13:52:45-05
16117,301,27,4.99,2017-01-25 02:10:16-05
16118,301,227,5.99,2017-01-26 09:20:12-05
16119,301,955,0.99,2017-01-30 15:27:29-05
16120,302,38,4.99,2017-01-25 03:16:10-05
16121,302,92,5.99,2017-01-25 14:07:12-05
16122,303,265,0.99,2017-01-26 14:36:04-05
16123,303,871,2.99,2017-01-30 03:29:56-05
16124,303,1050,4.99,2017-01-31 05:29:53-05
16125,304,135,10.99,2017-01-25 20:27:24-05
16126,304,415,0.99,2017-01-27 13:20:11-05
16127,304,937,2.99,2017-01-30 13:15:57-05
16128,305,69,2.99,2017-01-25 08:38:40-05
16129,306,375,3.99,2017-01-27 07:17:47-05
16130,306,672,6.99,2017-01-28 20:33:55-05
16131,307,413,4.99,2017-01-27 13:14:03-05
16132,307,535,4.99,2017-01-28 04:44:58-05
16133,307,614,1.99,2017-01-28 14:01:54-05
16134,307,970,6.99,2017-01-30 18:18:54-05
16135,308,589,3.99,2017-01-28 10:56:16-05
16136,309,218,6.99,2017-01-26 07:55:35-05
16137,309,723,0.99,2017-01-29 04:03:10-05
16138,310,104,0.99,2017-01-25 16:14:59-05
16139,311,274,5.99,2017-01-26 15:17:17-05
16140,311,544,6.99,2017-01-28 05:31:26-05
16141,311,952,2.99,2017-01-30 14:56:33-05
16142,311,990,3.99,2017-01-30 21:53:40-05
16143,311,1128,6.99,2017-01-31 16:17:52-05
16144,312,229,4.99,2017-01-26 09:47:46-05
16145,312,530,0.99,2017-01-28 03:41:27-05
16146,312,1049,4.99,2017-01-31 05:25:30-05
16147,312,1079,6.99,2017-01-31 09:16:43-05
16148,313,669,4.99,2017-01-28 20:31:51-05
16149,313,712,2.99,2017-01-29 02:30:50-05
16150,313,781,0.99,2017-01-29 12:52:24-05
16151,313,843,0.99,2017-01-29 23:12:50-05
16152,314,80,5.99,2017-01-25 10:40:33-05
16153,314,440,4.99,2017-01-27 16:29:01-05
16154,315,537,8.99,2017-01-28 04:49:21-05
16155,315,551,4.99,2017-01-28 06:12:44-05
16156,316,16,4.99,2017-01-24 23:11:37-05
16157,316,644,8.99,2017-01-28 17:27:38-05
16158,316,1065,1.99,2017-01-31 07:23:22-05
16159,317,107,6.99,2017-01-25 16:56:35-05
16160,318,224,9.99,2017-01-26 08:46:53-05
16161,319,15,9.99,2017-01-24 23:07:48-05
16162,319,149,3.99,2017-01-25 22:56:31-05
16163,319,439,2.99,2017-01-27 16:23:14-05
16164,321,200,4.99,2017-01-26 05:40:47-05
16165,321,620,5.99,2017-01-28 14:23:11-05
16166,321,818,4.99,2017-01-29 19:16:19-05
16167,322,166,0.99,2017-01-26 01:17:37-05
16168,322,269,4.99,2017-01-26 14:48:12-05
16169,323,58,4.99,2017-01-25 07:21:40-05
16170,323,729,2.99,2017-01-29 05:03:39-05
16171,323,878,5.99,2017-01-30 04:17:39-05
16172,324,563,3.99,2017-01-28 07:39:15-05
16173,325,131,5.99,2017-01-25 20:11:12-05
16174,326,875,6.99,2017-01-30 04:06:50-05
16175,326,981,4.99,2017-01-30 20:21:08-05
16176,326,1149,3.99,2017-01-31 19:31:43-05
16177,327,653,6.99,2017-01-28 18:40:46-05
16178,328,862,2.99,2017-01-30 01:37:37-05
16179,330,704,3.99,2017-01-29 01:13:09-05
16180,330,967,7.99,2017-01-30 17:40:32-05
16181,331,87,0.99,2017-01-25 12:21:09-05
16182,331,996,2.99,2017-01-30 22:34:46-05
16183,332,600,3.99,2017-01-28 12:36:45-05
16184,332,1000,6.99,2017-01-30 22:54:22-05
