"Income" "Limit" "Rating" "Cards" "Age" "Education" "Gender" "Student" "Married" "Ethnicity" "Balance"
14.891 3606 283 2 34 11 " Male" "No" "Yes" "Caucasian" 333
106.025 6645 483 3 82 15 "Female" "Yes" "Yes" "Asian" 903
104.593 7075 514 4 71 11 " Male" "No" "No" "Asian" 580
148.924 9504 681 3 36 11 "Female" "No" "No" "Asian" 964
55.882 4897 357 2 68 16 " Male" "No" "Yes" "Caucasian" 331
80.18 8047 569 4 77 10 " Male" "No" "No" "Caucasian" 1151
20.996 3388 259 2 37 12 "Female" "No" "No" "African American" 203
71.408 7114 512 2 87 9 " Male" "No" "No" "Asian" 872
15.125 3300 266 5 66 13 "Female" "No" "No" "Caucasian" 279
71.061 6819 491 3 41 19 "Female" "Yes" "Yes" "African American" 1350
63.095 8117 589 4 30 14 " Male" "No" "Yes" "Caucasian" 1407
15.045 1311 138 3 64 16 " Male" "No" "No" "Caucasian" 0
80.616 5308 394 1 57 7 "Female" "No" "Yes" "Asian" 204
43.682 6922 511 1 49 9 " Male" "No" "Yes" "Caucasian" 1081
19.144 3291 269 2 75 13 "Female" "No" "No" "African American" 148
20.089 2525 200 3 57 15 "Female" "No" "Yes" "African American" 0
53.598 3714 286 3 73 17 "Female" "No" "Yes" "African American" 0
49.57 6384 448 1 28 9 "Female" "No" "Yes" "Asian" 891
42.079 6626 479 2 44 9 " Male" "No" "No" "Asian" 1048
17.7 2860 235 4 63 16 "Female" "No" "No" "Asian" 89
